"Id","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","date","day","total_time_awake_in_bed"
2026352035,"4/28/2016 12:00:00 AM",1,513,545,2016-04-28,"Thursday",32
2026352035,"4/29/2016 12:00:00 AM",1,490,510,2016-04-29,"Friday",20
2026352035,"4/30/2016 12:00:00 AM",1,573,607,2016-04-30,"Saturday",34
2026352035,"5/1/2016 12:00:00 AM",1,527,546,2016-05-01,"Sunday",19
2026352035,"5/2/2016 12:00:00 AM",1,511,543,2016-05-02,"Monday",32
2026352035,"5/4/2016 12:00:00 AM",1,538,560,2016-05-04,"Wednesday",22
2026352035,"5/5/2016 12:00:00 AM",1,468,485,2016-05-05,"Thursday",17
2026352035,"5/6/2016 12:00:00 AM",1,524,548,2016-05-06,"Friday",24
2026352035,"5/7/2016 12:00:00 AM",1,511,521,2016-05-07,"Saturday",10
2026352035,"5/8/2016 12:00:00 AM",1,541,568,2016-05-08,"Sunday",27
2026352035,"5/9/2016 12:00:00 AM",1,531,556,2016-05-09,"Monday",25
2026352035,"5/10/2016 12:00:00 AM",1,357,380,2016-05-10,"Tuesday",23
2026352035,"5/11/2016 12:00:00 AM",1,523,553,2016-05-11,"Wednesday",30
2026352035,"5/12/2016 12:00:00 AM",1,456,485,2016-05-12,"Thursday",29
2320127002,"4/23/2016 12:00:00 AM",1,61,69,2016-04-23,"Saturday",8
2347167796,"4/13/2016 12:00:00 AM",1,467,531,2016-04-13,"Wednesday",64
2347167796,"4/14/2016 12:00:00 AM",1,445,489,2016-04-14,"Thursday",44
2347167796,"4/15/2016 12:00:00 AM",1,452,504,2016-04-15,"Friday",52
2347167796,"4/17/2016 12:00:00 AM",1,556,602,2016-04-17,"Sunday",46
2347167796,"4/18/2016 12:00:00 AM",1,500,557,2016-04-18,"Monday",57
2347167796,"4/19/2016 12:00:00 AM",1,465,514,2016-04-19,"Tuesday",49
2347167796,"4/21/2016 12:00:00 AM",1,460,484,2016-04-21,"Thursday",24
2347167796,"4/22/2016 12:00:00 AM",1,405,461,2016-04-22,"Friday",56
2347167796,"4/23/2016 12:00:00 AM",1,374,386,2016-04-23,"Saturday",12
2347167796,"4/24/2016 12:00:00 AM",1,442,459,2016-04-24,"Sunday",17
2347167796,"4/25/2016 12:00:00 AM",1,433,471,2016-04-25,"Monday",38
2347167796,"4/26/2016 12:00:00 AM",1,436,490,2016-04-26,"Tuesday",54
2347167796,"4/27/2016 12:00:00 AM",1,448,499,2016-04-27,"Wednesday",51
2347167796,"4/28/2016 12:00:00 AM",1,408,450,2016-04-28,"Thursday",42
2347167796,"4/29/2016 12:00:00 AM",1,411,473,2016-04-29,"Friday",62
3977333714,"4/12/2016 12:00:00 AM",1,274,469,2016-04-12,"Tuesday",195
3977333714,"4/13/2016 12:00:00 AM",2,295,456,2016-04-13,"Wednesday",161
3977333714,"4/14/2016 12:00:00 AM",1,291,397,2016-04-14,"Thursday",106
3977333714,"4/15/2016 12:00:00 AM",1,424,556,2016-04-15,"Friday",132
3977333714,"4/16/2016 12:00:00 AM",1,283,510,2016-04-16,"Saturday",227
3977333714,"4/17/2016 12:00:00 AM",1,381,566,2016-04-17,"Sunday",185
3977333714,"4/18/2016 12:00:00 AM",2,412,522,2016-04-18,"Monday",110
3977333714,"4/19/2016 12:00:00 AM",1,219,395,2016-04-19,"Tuesday",176
3977333714,"4/20/2016 12:00:00 AM",2,152,305,2016-04-20,"Wednesday",153
3977333714,"4/21/2016 12:00:00 AM",1,332,512,2016-04-21,"Thursday",180
3977333714,"4/22/2016 12:00:00 AM",1,355,476,2016-04-22,"Friday",121
3977333714,"4/23/2016 12:00:00 AM",1,235,372,2016-04-23,"Saturday",137
3977333714,"4/24/2016 12:00:00 AM",1,310,526,2016-04-24,"Sunday",216
3977333714,"4/25/2016 12:00:00 AM",1,262,467,2016-04-25,"Monday",205
3977333714,"4/26/2016 12:00:00 AM",1,250,371,2016-04-26,"Tuesday",121
3977333714,"4/27/2016 12:00:00 AM",1,349,540,2016-04-27,"Wednesday",191
3977333714,"4/28/2016 12:00:00 AM",1,261,423,2016-04-28,"Thursday",162
3977333714,"4/29/2016 12:00:00 AM",1,333,478,2016-04-29,"Friday",145
3977333714,"4/30/2016 12:00:00 AM",1,237,382,2016-04-30,"Saturday",145
3977333714,"5/1/2016 12:00:00 AM",1,383,626,2016-05-01,"Sunday",243
3977333714,"5/2/2016 12:00:00 AM",1,230,384,2016-05-02,"Monday",154
3977333714,"5/3/2016 12:00:00 AM",1,292,500,2016-05-03,"Tuesday",208
3977333714,"5/4/2016 12:00:00 AM",1,213,336,2016-05-04,"Wednesday",123
3977333714,"5/5/2016 12:00:00 AM",1,318,480,2016-05-05,"Thursday",162
3977333714,"5/6/2016 12:00:00 AM",1,323,512,2016-05-06,"Friday",189
3977333714,"5/7/2016 12:00:00 AM",1,237,443,2016-05-07,"Saturday",206
3977333714,"5/8/2016 12:00:00 AM",2,259,456,2016-05-08,"Sunday",197
3977333714,"5/10/2016 12:00:00 AM",1,312,452,2016-05-10,"Tuesday",140
4020332650,"4/12/2016 12:00:00 AM",1,501,541,2016-04-12,"Tuesday",40
4020332650,"4/16/2016 12:00:00 AM",1,77,77,2016-04-16,"Saturday",0
4020332650,"5/3/2016 12:00:00 AM",1,322,332,2016-05-03,"Tuesday",10
4020332650,"5/4/2016 12:00:00 AM",1,478,536,2016-05-04,"Wednesday",58
4020332650,"5/5/2016 12:00:00 AM",1,226,248,2016-05-05,"Thursday",22
4020332650,"5/6/2016 12:00:00 AM",1,385,408,2016-05-06,"Friday",23
4020332650,"5/8/2016 12:00:00 AM",1,364,402,2016-05-08,"Sunday",38
4020332650,"5/10/2016 12:00:00 AM",1,442,494,2016-05-10,"Tuesday",52
4319703577,"4/14/2016 12:00:00 AM",1,535,557,2016-04-14,"Thursday",22
4319703577,"4/15/2016 12:00:00 AM",1,465,491,2016-04-15,"Friday",26
4319703577,"4/16/2016 12:00:00 AM",1,506,522,2016-04-16,"Saturday",16
4319703577,"4/18/2016 12:00:00 AM",1,515,551,2016-04-18,"Monday",36
4319703577,"4/19/2016 12:00:00 AM",2,461,498,2016-04-19,"Tuesday",37
4319703577,"4/20/2016 12:00:00 AM",1,523,543,2016-04-20,"Wednesday",20
4319703577,"4/21/2016 12:00:00 AM",1,59,65,2016-04-21,"Thursday",6
4319703577,"4/22/2016 12:00:00 AM",1,533,550,2016-04-22,"Friday",17
4319703577,"4/23/2016 12:00:00 AM",1,692,722,2016-04-23,"Saturday",30
4319703577,"4/24/2016 12:00:00 AM",1,467,501,2016-04-24,"Sunday",34
4319703577,"4/25/2016 12:00:00 AM",1,488,506,2016-04-25,"Monday",18
4319703577,"4/26/2016 12:00:00 AM",1,505,516,2016-04-26,"Tuesday",11
4319703577,"4/27/2016 12:00:00 AM",1,286,307,2016-04-27,"Wednesday",21
4319703577,"4/28/2016 12:00:00 AM",1,497,522,2016-04-28,"Thursday",25
4319703577,"4/29/2016 12:00:00 AM",1,523,546,2016-04-29,"Friday",23
4319703577,"4/30/2016 12:00:00 AM",1,490,516,2016-04-30,"Saturday",26
4319703577,"5/1/2016 12:00:00 AM",1,484,500,2016-05-01,"Sunday",16
4319703577,"5/2/2016 12:00:00 AM",1,478,506,2016-05-02,"Monday",28
4319703577,"5/3/2016 12:00:00 AM",1,474,512,2016-05-03,"Tuesday",38
4319703577,"5/6/2016 12:00:00 AM",1,450,491,2016-05-06,"Friday",41
4319703577,"5/7/2016 12:00:00 AM",1,507,530,2016-05-07,"Saturday",23
4319703577,"5/8/2016 12:00:00 AM",1,602,638,2016-05-08,"Sunday",36
4319703577,"5/9/2016 12:00:00 AM",1,535,565,2016-05-09,"Monday",30
4319703577,"5/10/2016 12:00:00 AM",1,487,517,2016-05-10,"Tuesday",30
4319703577,"5/11/2016 12:00:00 AM",1,529,558,2016-05-11,"Wednesday",29
4319703577,"5/12/2016 12:00:00 AM",1,302,321,2016-05-12,"Thursday",19
4388161847,"4/15/2016 12:00:00 AM",1,499,526,2016-04-15,"Friday",27
4388161847,"4/16/2016 12:00:00 AM",2,426,448,2016-04-16,"Saturday",22
4388161847,"4/17/2016 12:00:00 AM",2,619,641,2016-04-17,"Sunday",22
4388161847,"4/18/2016 12:00:00 AM",1,99,104,2016-04-18,"Monday",5
4388161847,"4/19/2016 12:00:00 AM",1,329,338,2016-04-19,"Tuesday",9
4388161847,"4/20/2016 12:00:00 AM",1,421,451,2016-04-20,"Wednesday",30
4388161847,"4/21/2016 12:00:00 AM",1,442,458,2016-04-21,"Thursday",16
4388161847,"4/22/2016 12:00:00 AM",1,82,85,2016-04-22,"Friday",3
4388161847,"4/23/2016 12:00:00 AM",1,478,501,2016-04-23,"Saturday",23
4388161847,"4/24/2016 12:00:00 AM",3,552,595,2016-04-24,"Sunday",43
4388161847,"4/26/2016 12:00:00 AM",1,319,346,2016-04-26,"Tuesday",27
4388161847,"4/27/2016 12:00:00 AM",1,439,500,2016-04-27,"Wednesday",61
4388161847,"4/28/2016 12:00:00 AM",1,428,458,2016-04-28,"Thursday",30
4388161847,"4/30/2016 12:00:00 AM",2,409,430,2016-04-30,"Saturday",21
4388161847,"5/1/2016 12:00:00 AM",1,547,597,2016-05-01,"Sunday",50
4388161847,"5/2/2016 12:00:00 AM",2,368,376,2016-05-02,"Monday",8
4388161847,"5/4/2016 12:00:00 AM",1,390,414,2016-05-04,"Wednesday",24
4388161847,"5/5/2016 12:00:00 AM",1,471,495,2016-05-05,"Thursday",24
4388161847,"5/5/2016 12:00:00 AM",1,471,495,2016-05-05,"Thursday",24
4388161847,"5/7/2016 12:00:00 AM",1,472,496,2016-05-07,"Saturday",24
4388161847,"5/8/2016 12:00:00 AM",2,529,541,2016-05-08,"Sunday",12
4388161847,"5/9/2016 12:00:00 AM",1,62,65,2016-05-09,"Monday",3
4388161847,"5/10/2016 12:00:00 AM",1,354,375,2016-05-10,"Tuesday",21
4388161847,"5/11/2016 12:00:00 AM",1,469,494,2016-05-11,"Wednesday",25
4445114986,"4/12/2016 12:00:00 AM",2,429,457,2016-04-12,"Tuesday",28
4445114986,"4/13/2016 12:00:00 AM",2,370,406,2016-04-13,"Wednesday",36
4445114986,"4/14/2016 12:00:00 AM",1,441,492,2016-04-14,"Thursday",51
4445114986,"4/15/2016 12:00:00 AM",2,337,379,2016-04-15,"Friday",42
4445114986,"4/16/2016 12:00:00 AM",1,462,499,2016-04-16,"Saturday",37
4445114986,"4/17/2016 12:00:00 AM",1,98,107,2016-04-17,"Sunday",9
4445114986,"4/19/2016 12:00:00 AM",2,388,424,2016-04-19,"Tuesday",36
4445114986,"4/20/2016 12:00:00 AM",1,439,462,2016-04-20,"Wednesday",23
4445114986,"4/21/2016 12:00:00 AM",1,436,469,2016-04-21,"Thursday",33
4445114986,"4/22/2016 12:00:00 AM",1,388,417,2016-04-22,"Friday",29
4445114986,"4/25/2016 12:00:00 AM",1,328,345,2016-04-25,"Monday",17
4445114986,"4/26/2016 12:00:00 AM",2,353,391,2016-04-26,"Tuesday",38
4445114986,"4/27/2016 12:00:00 AM",1,332,374,2016-04-27,"Wednesday",42
4445114986,"4/28/2016 12:00:00 AM",1,419,442,2016-04-28,"Thursday",23
4445114986,"4/29/2016 12:00:00 AM",1,106,108,2016-04-29,"Friday",2
4445114986,"4/30/2016 12:00:00 AM",1,322,353,2016-04-30,"Saturday",31
4445114986,"5/1/2016 12:00:00 AM",2,439,459,2016-05-01,"Sunday",20
4445114986,"5/2/2016 12:00:00 AM",1,502,542,2016-05-02,"Monday",40
4445114986,"5/3/2016 12:00:00 AM",2,417,450,2016-05-03,"Tuesday",33
4445114986,"5/4/2016 12:00:00 AM",2,337,363,2016-05-04,"Wednesday",26
4445114986,"5/5/2016 12:00:00 AM",2,462,513,2016-05-05,"Thursday",51
4445114986,"5/6/2016 12:00:00 AM",2,374,402,2016-05-06,"Friday",28
4445114986,"5/7/2016 12:00:00 AM",2,401,436,2016-05-07,"Saturday",35
4445114986,"5/8/2016 12:00:00 AM",1,361,391,2016-05-08,"Sunday",30
4445114986,"5/9/2016 12:00:00 AM",1,457,533,2016-05-09,"Monday",76
4445114986,"5/10/2016 12:00:00 AM",1,405,426,2016-05-10,"Tuesday",21
4445114986,"5/11/2016 12:00:00 AM",1,499,530,2016-05-11,"Wednesday",31
4445114986,"5/12/2016 12:00:00 AM",1,483,501,2016-05-12,"Thursday",18
4558609924,"4/21/2016 12:00:00 AM",1,126,137,2016-04-21,"Thursday",11
4558609924,"4/26/2016 12:00:00 AM",1,103,121,2016-04-26,"Tuesday",18
4558609924,"4/29/2016 12:00:00 AM",1,171,179,2016-04-29,"Friday",8
4558609924,"5/1/2016 12:00:00 AM",1,115,129,2016-05-01,"Sunday",14
4558609924,"5/8/2016 12:00:00 AM",1,123,134,2016-05-08,"Sunday",11
4702921684,"4/12/2016 12:00:00 AM",1,425,439,2016-04-12,"Tuesday",14
4702921684,"4/13/2016 12:00:00 AM",2,400,430,2016-04-13,"Wednesday",30
4702921684,"4/14/2016 12:00:00 AM",1,384,415,2016-04-14,"Thursday",31
4702921684,"4/15/2016 12:00:00 AM",1,253,257,2016-04-15,"Friday",4
4702921684,"4/16/2016 12:00:00 AM",2,382,406,2016-04-16,"Saturday",24
4702921684,"4/17/2016 12:00:00 AM",1,591,612,2016-04-17,"Sunday",21
4702921684,"4/18/2016 12:00:00 AM",1,293,312,2016-04-18,"Monday",19
4702921684,"4/19/2016 12:00:00 AM",1,457,487,2016-04-19,"Tuesday",30
4702921684,"4/20/2016 12:00:00 AM",1,454,468,2016-04-20,"Wednesday",14
4702921684,"4/21/2016 12:00:00 AM",1,425,434,2016-04-21,"Thursday",9
4702921684,"4/23/2016 12:00:00 AM",1,465,475,2016-04-23,"Saturday",10
4702921684,"4/24/2016 12:00:00 AM",1,480,506,2016-04-24,"Sunday",26
4702921684,"4/25/2016 12:00:00 AM",1,370,380,2016-04-25,"Monday",10
4702921684,"4/26/2016 12:00:00 AM",1,421,429,2016-04-26,"Tuesday",8
4702921684,"4/27/2016 12:00:00 AM",1,432,449,2016-04-27,"Wednesday",17
4702921684,"4/28/2016 12:00:00 AM",1,442,461,2016-04-28,"Thursday",19
4702921684,"4/29/2016 12:00:00 AM",1,433,447,2016-04-29,"Friday",14
4702921684,"4/30/2016 12:00:00 AM",1,479,501,2016-04-30,"Saturday",22
4702921684,"5/3/2016 12:00:00 AM",1,327,373,2016-05-03,"Tuesday",46
4702921684,"5/4/2016 12:00:00 AM",1,412,434,2016-05-04,"Wednesday",22
4702921684,"5/5/2016 12:00:00 AM",1,414,428,2016-05-05,"Thursday",14
4702921684,"5/6/2016 12:00:00 AM",1,404,449,2016-05-06,"Friday",45
4702921684,"5/7/2016 12:00:00 AM",1,520,543,2016-05-07,"Saturday",23
4702921684,"5/7/2016 12:00:00 AM",1,520,543,2016-05-07,"Saturday",23
4702921684,"5/9/2016 12:00:00 AM",1,435,458,2016-05-09,"Monday",23
4702921684,"5/10/2016 12:00:00 AM",1,416,431,2016-05-10,"Tuesday",15
4702921684,"5/11/2016 12:00:00 AM",1,354,366,2016-05-11,"Wednesday",12
4702921684,"5/12/2016 12:00:00 AM",1,404,442,2016-05-12,"Thursday",38
5553957443,"4/12/2016 12:00:00 AM",1,441,464,2016-04-12,"Tuesday",23
5553957443,"4/13/2016 12:00:00 AM",2,455,488,2016-04-13,"Wednesday",33
5553957443,"4/14/2016 12:00:00 AM",1,357,418,2016-04-14,"Thursday",61
5553957443,"4/15/2016 12:00:00 AM",1,377,409,2016-04-15,"Friday",32
5553957443,"4/16/2016 12:00:00 AM",2,651,686,2016-04-16,"Saturday",35
5553957443,"4/17/2016 12:00:00 AM",1,350,402,2016-04-17,"Sunday",52
5553957443,"4/18/2016 12:00:00 AM",2,520,541,2016-04-18,"Monday",21
5553957443,"4/19/2016 12:00:00 AM",1,357,410,2016-04-19,"Tuesday",53
5553957443,"4/20/2016 12:00:00 AM",1,658,678,2016-04-20,"Wednesday",20
5553957443,"4/21/2016 12:00:00 AM",1,399,431,2016-04-21,"Thursday",32
5553957443,"4/22/2016 12:00:00 AM",1,322,353,2016-04-22,"Friday",31
5553957443,"4/23/2016 12:00:00 AM",2,631,725,2016-04-23,"Saturday",94
5553957443,"4/24/2016 12:00:00 AM",2,553,640,2016-04-24,"Sunday",87
5553957443,"4/25/2016 12:00:00 AM",1,433,468,2016-04-25,"Monday",35
5553957443,"4/26/2016 12:00:00 AM",1,412,453,2016-04-26,"Tuesday",41
5553957443,"4/27/2016 12:00:00 AM",1,347,391,2016-04-27,"Wednesday",44
5553957443,"4/28/2016 12:00:00 AM",1,421,457,2016-04-28,"Thursday",36
5553957443,"4/29/2016 12:00:00 AM",1,450,495,2016-04-29,"Friday",45
5553957443,"4/30/2016 12:00:00 AM",2,775,843,2016-04-30,"Saturday",68
5553957443,"5/1/2016 12:00:00 AM",2,622,686,2016-05-01,"Sunday",64
5553957443,"5/2/2016 12:00:00 AM",1,409,471,2016-05-02,"Monday",62
5553957443,"5/3/2016 12:00:00 AM",1,380,429,2016-05-03,"Tuesday",49
5553957443,"5/4/2016 12:00:00 AM",1,447,470,2016-05-04,"Wednesday",23
5553957443,"5/5/2016 12:00:00 AM",1,419,464,2016-05-05,"Thursday",45
5553957443,"5/6/2016 12:00:00 AM",1,400,434,2016-05-06,"Friday",34
5553957443,"5/7/2016 12:00:00 AM",1,442,470,2016-05-07,"Saturday",28
5553957443,"5/8/2016 12:00:00 AM",1,568,608,2016-05-08,"Sunday",40
5553957443,"5/9/2016 12:00:00 AM",1,453,494,2016-05-09,"Monday",41
5553957443,"5/10/2016 12:00:00 AM",1,418,443,2016-05-10,"Tuesday",25
5553957443,"5/11/2016 12:00:00 AM",1,463,486,2016-05-11,"Wednesday",23
5553957443,"5/12/2016 12:00:00 AM",1,438,475,2016-05-12,"Thursday",37
5577150313,"4/12/2016 12:00:00 AM",1,419,438,2016-04-12,"Tuesday",19
5577150313,"4/13/2016 12:00:00 AM",1,432,458,2016-04-13,"Wednesday",26
5577150313,"4/14/2016 12:00:00 AM",1,477,497,2016-04-14,"Thursday",20
5577150313,"4/15/2016 12:00:00 AM",1,392,413,2016-04-15,"Friday",21
5577150313,"4/16/2016 12:00:00 AM",1,406,445,2016-04-16,"Saturday",39
5577150313,"4/17/2016 12:00:00 AM",1,549,583,2016-04-17,"Sunday",34
5577150313,"4/18/2016 12:00:00 AM",1,527,553,2016-04-18,"Monday",26
5577150313,"4/19/2016 12:00:00 AM",1,449,465,2016-04-19,"Tuesday",16
5577150313,"4/20/2016 12:00:00 AM",1,447,480,2016-04-20,"Wednesday",33
5577150313,"4/21/2016 12:00:00 AM",1,414,437,2016-04-21,"Thursday",23
5577150313,"4/22/2016 12:00:00 AM",1,338,366,2016-04-22,"Friday",28
5577150313,"4/23/2016 12:00:00 AM",1,384,402,2016-04-23,"Saturday",18
5577150313,"4/24/2016 12:00:00 AM",1,543,615,2016-04-24,"Sunday",72
5577150313,"4/25/2016 12:00:00 AM",1,421,461,2016-04-25,"Monday",40
5577150313,"4/26/2016 12:00:00 AM",1,354,377,2016-04-26,"Tuesday",23
5577150313,"4/27/2016 12:00:00 AM",1,424,452,2016-04-27,"Wednesday",28
5577150313,"4/28/2016 12:00:00 AM",1,361,372,2016-04-28,"Thursday",11
5577150313,"4/29/2016 12:00:00 AM",1,459,485,2016-04-29,"Friday",26
5577150313,"4/30/2016 12:00:00 AM",1,412,433,2016-04-30,"Saturday",21
5577150313,"5/1/2016 12:00:00 AM",1,379,398,2016-05-01,"Sunday",19
5577150313,"5/2/2016 12:00:00 AM",2,525,553,2016-05-02,"Monday",28
5577150313,"5/3/2016 12:00:00 AM",1,508,543,2016-05-03,"Tuesday",35
5577150313,"5/4/2016 12:00:00 AM",1,603,634,2016-05-04,"Wednesday",31
5577150313,"5/5/2016 12:00:00 AM",1,74,78,2016-05-05,"Thursday",4
5577150313,"5/10/2016 12:00:00 AM",1,504,562,2016-05-10,"Tuesday",58
5577150313,"5/11/2016 12:00:00 AM",1,431,476,2016-05-11,"Wednesday",45
6117666160,"4/16/2016 12:00:00 AM",1,380,398,2016-04-16,"Saturday",18
6117666160,"4/17/2016 12:00:00 AM",2,336,350,2016-04-17,"Sunday",14
6117666160,"4/18/2016 12:00:00 AM",2,493,510,2016-04-18,"Monday",17
6117666160,"4/19/2016 12:00:00 AM",1,465,492,2016-04-19,"Tuesday",27
6117666160,"4/20/2016 12:00:00 AM",1,474,502,2016-04-20,"Wednesday",28
6117666160,"4/21/2016 12:00:00 AM",1,508,550,2016-04-21,"Thursday",42
6117666160,"4/22/2016 12:00:00 AM",1,480,546,2016-04-22,"Friday",66
6117666160,"4/23/2016 12:00:00 AM",1,492,539,2016-04-23,"Saturday",47
6117666160,"4/24/2016 12:00:00 AM",1,353,367,2016-04-24,"Sunday",14
6117666160,"4/27/2016 12:00:00 AM",1,542,557,2016-04-27,"Wednesday",15
6117666160,"4/28/2016 12:00:00 AM",1,393,416,2016-04-28,"Thursday",23
6117666160,"4/29/2016 12:00:00 AM",1,600,636,2016-04-29,"Friday",36
6117666160,"5/1/2016 12:00:00 AM",1,507,575,2016-05-01,"Sunday",68
6117666160,"5/5/2016 12:00:00 AM",1,392,415,2016-05-05,"Thursday",23
6117666160,"5/6/2016 12:00:00 AM",2,658,698,2016-05-06,"Friday",40
6117666160,"5/7/2016 12:00:00 AM",2,498,507,2016-05-07,"Saturday",9
6117666160,"5/8/2016 12:00:00 AM",1,555,603,2016-05-08,"Sunday",48
6117666160,"5/9/2016 12:00:00 AM",1,492,522,2016-05-09,"Monday",30
6775888955,"4/13/2016 12:00:00 AM",1,235,260,2016-04-13,"Wednesday",25
6775888955,"4/14/2016 12:00:00 AM",1,423,441,2016-04-14,"Thursday",18
6775888955,"4/15/2016 12:00:00 AM",1,391,406,2016-04-15,"Friday",15
6962181067,"4/12/2016 12:00:00 AM",1,366,387,2016-04-12,"Tuesday",21
6962181067,"4/13/2016 12:00:00 AM",3,630,679,2016-04-13,"Wednesday",49
6962181067,"4/14/2016 12:00:00 AM",2,508,535,2016-04-14,"Thursday",27
6962181067,"4/15/2016 12:00:00 AM",1,370,386,2016-04-15,"Friday",16
6962181067,"4/16/2016 12:00:00 AM",1,357,366,2016-04-16,"Saturday",9
6962181067,"4/17/2016 12:00:00 AM",1,427,446,2016-04-17,"Sunday",19
6962181067,"4/18/2016 12:00:00 AM",1,442,458,2016-04-18,"Monday",16
6962181067,"4/19/2016 12:00:00 AM",1,476,535,2016-04-19,"Tuesday",59
6962181067,"4/20/2016 12:00:00 AM",1,418,424,2016-04-20,"Wednesday",6
6962181067,"4/21/2016 12:00:00 AM",1,451,457,2016-04-21,"Thursday",6
6962181067,"4/22/2016 12:00:00 AM",1,425,435,2016-04-22,"Friday",10
6962181067,"4/23/2016 12:00:00 AM",1,528,546,2016-04-23,"Saturday",18
6962181067,"4/24/2016 12:00:00 AM",1,511,514,2016-04-24,"Sunday",3
6962181067,"4/25/2016 12:00:00 AM",1,400,415,2016-04-25,"Monday",15
6962181067,"4/26/2016 12:00:00 AM",1,441,446,2016-04-26,"Tuesday",5
6962181067,"4/27/2016 12:00:00 AM",1,455,467,2016-04-27,"Wednesday",12
